group,subject,trial,choice,reward,Q1,Q2,pA
1,1,126,2,0,0.509859560423334,0.0864246634483989,0.699910098352757
1,1,127,1,1,0.305915736254,0.0518547980690393,0.624366095350457
1,1,128,1,1,0.5835494417524,0.0311128788414236,0.751172068605111
1,1,129,1,1,0.75012966505144,0.0186677273048542,0.81197946662569
1,1,130,1,0,0.850077799030864,0.0112006363829125,0.842606937731975
1,1,131,1,1,0.510046679418518,0.0067203818297475,0.732364545958862
1,1,132,1,0,0.706028007651111,0.0040322290978485,0.802816524473446
1,1,133,2,1,0.423616804590667,0.0024193374587091,0.698969376964957
1,1,134,1,0,0.2541700827544,0.401451602475225,0.426887128273665
1,1,135,2,1,0.15250204965264,0.240870961485135,0.45593019904773
1,1,136,1,1,0.091501229791584,0.544522576891081,0.287810306509069
1,1,137,1,1,0.45490073787495,0.326713546134649,0.563744827020909
1,1,138,1,1,0.67294044272497,0.196028127680789,0.721883691173281
1,1,139,1,1,0.803764265634982,0.117616876608474,0.797750656484854
1,1,140,1,0,0.882258559380989,0.0705701259650841,0.835260314653608
1,1,141,1,1,0.529355135628593,0.0423420755790505,0.725921261158706
1,1,142,2,0,0.717613081377156,0.0254052453474303,0.799699240328619
1,1,143,1,1,0.430567848826294,0.0152431472084582,0.696492225211308
1,1,144,1,1,0.658340709295776,0.0091458883250749,0.785563837669592
1,1,145,1,1,0.795004425577466,0.00548753299504494,0.829067634866043
1,1,146,1,1,0.877002655346479,0.00329251979702696,0.851627127247415
1,1,147,2,0,0.926201593207888,0.00197551187821618,0.863945266711581
1,1,148,1,1,0.555720955924733,0.00118530712692971,0.751955932066111
1,1,149,1,1,0.73343257355484,0.000711184276157824,0.812363722396016
1,1,150,1,0,0.840059544132904,0.000426710565694694,0.842807268852616
1,1,151,1,1,0.504035726479742,0.000256026339416817,0.732542248395047
1,1,152,1,0,0.702421435887845,0.00015361580365009,0.802902639803024
1,1,153,1,0,0.421452861532707,9.2169482190054e-05,0.699038061200798
1,1,154,1,0,0.252871716919624,5.53016893140324e-05,0.623782151301099
1,1,155,1,0,0.151723030151775,3.31810135884194e-05,0.575268503547415
1,1,156,1,1,0.0910338180910647,1.99086081530517e-05,0.545381716921989
1,1,157,2,0,0.454620290854639,1.1945164891831e-05,0.712839846840578
1,1,158,1,0,0.272772174512783,7.1670989350986e-06,0.633097899830414
1,1,159,1,0,0.16366330470767,4.30025936105916e-06,0.581106664358006
1,1,160,2,1,0.098197982824602,2.58015561663549e-06,0.548940502084807
1,1,161,2,1,0.0589187896947612,0.40000154809337,0.335778153186883
1,1,162,2,0,0.0353512738168567,0.640000928856022,0.22982505344226
1,1,163,2,0,0.021210764290114,0.384000557313613,0.326165505383242
1,1,164,2,0,0.0127264585740684,0.230400334388168,0.392850063505605
1,1,165,1,0,0.00763587514444105,0.138240200632901,0.435066618261128
1,1,166,2,1,0.00458152508666463,0.0829441203797405,0.460898705998337
1,1,167,2,0,0.00274891505199878,0.449766472227844,0.290277823902258
1,1,168,1,0,0.00164934903119927,0.269859883336707,0.369020524969163
1,1,169,2,1,0.00098960941871956,0.161915930002024,0.420224311474049
1,1,170,2,0,0.000593765651231736,0.497149558001214,0.270297919695227
1,1,171,2,1,0.000356259390739042,0.298289734800729,0.355289838528349
1,1,172,2,1,0.000213755634443425,0.578973840880437,0.239118175076863
1,1,173,2,1,0.000128253380666055,0.747384304528262,0.183245451203322
1,1,174,2,1,7.6952028399633e-05,0.848430582716957,0.15489580513128
1,1,175,2,0,4.61712170397798e-05,0.909058349630174,0.139671103385692
1,1,176,2,1,2.77027302238679e-05,0.545435009778105,0.251464912286968
1,1,177,2,1,1.66216381343207e-05,0.727261005866863,0.189311701304253
1,1,178,2,1,9.97298288059243e-06,0.836356603520118,0.158065427482172
1,1,179,2,1,5.98378972835546e-06,0.901813962112071,0.141411466664752
1,1,180,2,1,3.59027383701328e-06,0.941088377267242,0.132139870497685
1,1,181,1,0,2.15416430220797e-06,0.964653026360345,0.126827886598465
1,1,182,2,1,1.29249858132478e-06,0.578791815816207,0.239107099406264
1,1,183,2,0,7.75499148794868e-07,0.747275089489724,0.183239984592954
1,1,184,1,0,4.65299489276921e-07,0.448365053693835,0.289723116042966
1,1,185,2,1,2.79179693566152e-07,0.269019032216301,0.368644226347051
1,1,186,2,1,1.67507816139691e-07,0.56141141932978,0.245488113506402
1,1,187,2,1,1.00504689683815e-07,0.736846851597868,0.186381868848213
1,1,188,2,1,6.03028138102889e-08,0.842108110958721,0.156537994357698
1,1,189,2,0,3.61816882861733e-08,0.905264866575233,0.140574123621772
1,1,190,1,0,2.1709012971704e-08,0.543158919945139,0.252312295284719
1,1,191,2,1,1.30254077830224e-08,0.325895351967084,0.342586125686944
1,1,192,2,0,7.81524466981344e-09,0.59553721118025,0.233066834054922
1,1,193,1,1,4.68914680188806e-09,0.35732232670815,0.328573357109845
1,1,194,2,0,0.400000002813488,0.21439339602489,0.59175210104457
1,1,195,1,0,0.240000001688093,0.128636037614934,0.555452930182977
1,1,196,1,1,0.144000001012856,0.0771816225689604,0.53335955723562
1,1,197,2,1,0.486400000607713,0.0463089735413762,0.706859945762175
1,1,198,1,0,0.291840000364628,0.427785384124826,0.432442973380222
1,1,199,2,1,0.175104000218777,0.256671230474895,0.459306592172343
1,1,200,2,1,0.105062400131266,0.554002738284937,0.289486213677918
